mida,cost,desv.Est
1000,762.00,329.95 
2000,1594.00,628.94 
3000,2367.00,957.60 
4000,3150.00,1261.89 
5000,3983.00,1562.95 
6000,4660.00,1971.23 
7000,5454.00,2245.36 
8000,6147.00,2636.18 
9000,7101.00,2839.73 
10000,7870.00,3215.14 
11000,8745.00,3410.58 
12000,9616.00,3760.69 
13000,10191.00,4162.55 
14000,10788.00,4589.82 
15000,11836.00,4790.96 
16000,12371.00,5182.70 
17000,13298.00,5510.58 
18000,14194.00,5647.51 
19000,14840.00,6270.57 
20000,15647.00,6438.48 
21000,16570.00,6650.77 
22000,17507.00,6847.90 
23000,18362.00,7233.01 
24000,18691.00,7821.08 
25000,19441.00,8070.99 
26000,20427.00,8392.92 
27000,20910.00,8872.27 
28000,21668.00,9131.37 
29000,22982.00,9155.66 
30000,23241.00,9939.00 
31000,24798.00,9645.03 
32000,24558.00,10603.64 
33000,25688.00,10700.23 
34000,26672.00,11043.06 
35000,27736.00,10902.60 
36000,28138.00,11657.48 
37000,29578.00,11772.30 
38000,28663.00,12970.99 
39000,31471.00,11966.00 
40000,31460.00,13027.20 
41000,32276.00,13320.40 
42000,32655.00,13566.18 
43000,33769.00,13860.28 
44000,33809.00,14452.60 
45000,35587.00,14305.42 
46000,35361.00,15164.96 
47000,37786.00,14408.07 
48000,37520.00,15368.12 
49000,38296.00,15752.78 
50000,38983.00,16188.89 
